latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
8.40038,78.04769,338.12,0.39,0.36,2026-09-22,816,N20,VIIRS,n,2.0NRT,300.27,3.46,D
8.4928,80.18259,335.11,0.44,0.38,2026-09-22,816,N20,VIIRS,n,2.0NRT,298.29,3.47,D
8.60718,80.37472,338.94,0.45,0.39,2026-09-22,816,N20,VIIRS,n,2.0NRT,299.07,7.26,D
8.66189,78.04949,348.41,0.39,0.36,2026-09-22,816,N20,VIIRS,n,2.0NRT,300.71,4.96,D
8.67112,80.39031,343.28,0.45,0.39,2026-09-22,816,N20,VIIRS,n,2.0NRT,298.45,3.45,D
8.8344,78.08942,341.74,0.39,0.36,2026-09-22,816,N20,VIIRS,n,2.0NRT,305.79,7.17,D
8.91272,77.51103,335.5,0.38,0.36,2026-09-22,816,N20,VIIRS,n,2.0NRT,300.37,1.83,D
8.9238,77.49513,340.64,0.38,0.36,2026-09-22,816,N20,VIIRS,n,2.0NRT,301.0,2.81,D
9.0019,77.67091,336.8,0.38,0.36,2026-09-22,816,N20,VIIRS,n,2.0NRT,304.05,2.41,D
9.33826,80.20972,334.96,0.45,0.39,2026-09-22,816,N20,VIIRS,n,2.0NRT,295.22,3.72,D
9.64433,77.74282,340.2,0.39,0.36,2026-09-22,816,N20,VIIRS,n,2.0NRT,302.66,1.71,D
9.64763,77.74231,336.31,0.39,0.36,2026-09-22,816,N20,VIIRS,n,2.0NRT,299.81,1.71,D
9.86792,77.45,336.33,0.38,0.36,2026-09-22,816,N20,VIIRS,n,2.0NRT,298.06,3.74,D
10.12011,78.72713,331.96,0.4,0.37,2026-09-22,816,N20,VIIRS,n,2.0NRT,293.63,2.46,D
10.84744,77.61841,334.59,0.39,0.36,2026-09-22,816,N20,VIIRS,n,2.0NRT,297.67,3.13,D
11.0276,77.41729,345.32,0.39,0.36,2026-09-22,816,N20,VIIRS,n,2.0NRT,295.19,5.29,D
11.30747,77.65325,334.43,0.39,0.36,2026-09-22,816,N20,VIIRS,n,2.0NRT,285.58,2.54,D
8.2431,80.32059,343.84,0.37,0.58,2026-09-18,835,N21,VIIRS,n,2.0NRT,289.81,2.91,D
8.28809,80.29454,331.08,0.37,0.58,2026-09-18,835,N21,VIIRS,n,2.0NRT,292.5,2.25,D
8.38403,77.55009,342.51,0.47,0.48,2026-09-18,835,N21,VIIRS,n,2.0NRT,299.7,8.4,D
8.58515,77.63615,339.62,0.48,0.48,2026-09-18,835,N21,VIIRS,n,2.0NRT,298.02,8.53,D
8.76047,77.37704,341.5,0.47,0.48,2026-09-18,835,N21,VIIRS,n,2.0NRT,301.22,4.35,D
8.81401,80.06055,330.45,0.36,0.57,2026-09-18,835,N21,VIIRS,n,2.0NRT,293.85,3.11,D
8.81444,80.06377,331.43,0.36,0.57,2026-09-18,835,N21,VIIRS,n,2.0NRT,294.1,3.16,D
8.81461,80.06068,331.98,0.36,0.57,2026-09-18,835,N21,VIIRS,n,2.0NRT,293.83,3.69,D
8.82557,77.65616,333.05,0.49,0.49,2026-09-18,835,N21,VIIRS,n,2.0NRT,299.61,3.29,D
8.82665,77.65818,331.79,0.49,0.49,2026-09-18,835,N21,VIIRS,n,2.0NRT,299.3,3.33,D
8.82765,77.63779,335.89,0.49,0.48,2026-09-18,835,N21,VIIRS,n,2.0NRT,299.78,7.16,D
8.82824,77.64222,341.96,0.49,0.48,2026-09-18,835,N21,VIIRS,n,2.0NRT,300.37,9.79,D
8.8286,77.63986,347.98,0.49,0.48,2026-09-18,835,N21,VIIRS,n,2.0NRT,301.15,15.08,D
8.88433,77.7896,342.8,0.5,0.49,2026-09-18,835,N21,VIIRS,n,2.0NRT,300.18,11.48,D
8.88981,77.72916,353.93,0.5,0.49,2026-09-18,835,N21,VIIRS,n,2.0NRT,299.23,7.95,D
8.97558,76.81163,335.36,0.43,0.46,2026-09-18,835,N21,VIIRS,n,2.0NRT,292.59,3.86,D
9.08242,80.31558,344.6,0.38,0.58,2026-09-18,835,N21,VIIRS,n,2.0NRT,292.7,5.9,D
9.08777,80.31487,341.02,0.38,0.58,2026-09-18,835,N21,VIIRS,n,2.0NRT,293.24,5.9,D
9.10295,80.3059,348.57,0.38,0.58,2026-09-18,835,N21,VIIRS,n,2.0NRT,291.22,5.75,D
9.12303,80.29285,335.59,0.38,0.58,2026-09-18,835,N21,VIIRS,n,2.0NRT,291.14,2.28,D
9.17755,77.85369,333.13,0.51,0.49,2026-09-18,835,N21,VIIRS,n,2.0NRT,295.58,4.3,D
9.28672,78.20463,344.62,0.54,0.51,2026-09-18,835,N21,VIIRS,n,2.0NRT,304.71,26.8,D
9.30818,77.46856,331.66,0.48,0.48,2026-09-18,835,N21,VIIRS,n,2.0NRT,297.35,4.97,D
9.60575,78.4659,352.21,0.57,0.52,2026-09-18,835,N21,VIIRS,n,2.0NRT,295.18,8.27,D
9.6119,78.40235,349.11,0.56,0.52,2026-09-18,835,N21,VIIRS,n,2.0NRT,301.61,22.97,D
9.68896,77.82114,334.56,0.52,0.5,2026-09-18,835,N21,VIIRS,n,2.0NRT,299.89,7.93,D
9.95901,79.10687,339.8,0.32,0.55,2026-09-18,835,N21,VIIRS,n,2.0NRT,294.72,2.0,D
10.44981,79.58291,334.5,0.35,0.57,2026-09-18,837,N21,VIIRS,n,2.0NRT,293.39,4.48,D
10.56491,79.17277,344.28,0.33,0.55,2026-09-18,837,N21,VIIRS,n,2.0NRT,295.44,4.85,D
11.01922,79.29468,332.95,0.34,0.56,2026-09-18,837,N21,VIIRS,n,2.0NRT,289.99,4.1,D
11.68966,79.06055,367.0,0.34,0.56,2026-09-18,837,N21,VIIRS,h,2.0NRT,290.15,6.52,D
11.88698,79.25803,342.16,0.35,0.57,2026-09-18,837,N21,VIIRS,n,2.0NRT,292.69,5.16,D
12.25466,79.15068,336.14,0.35,0.56,2026-09-18,837,N21,VIIRS,n,2.0NRT,290.47,3.54,D
9.52283,78.82097,300.98,0.54,0.68,2026-09-18,1930,N21,VIIRS,n,2.0NRT,274.96,1.87,N
8.05586,80.08471,332.63,0.51,0.41,2026-09-19,816,N21,VIIRS,n,2.0NRT,288.96,5.2,D
8.05652,80.08934,330.86,0.51,0.41,2026-09-19,816,N21,VIIRS,n,2.0NRT,290.12,5.2,D
8.21635,77.71369,338.33,0.41,0.37,2026-09-19,816,N21,VIIRS,n,2.0NRT,300.06,6.2,D
8.582,78.07313,336.65,0.42,0.38,2026-09-19,816,N21,VIIRS,n,2.0NRT,293.58,3.5,D
10.20214,78.45383,334.59,0.45,0.39,2026-09-19,816,N21,VIIRS,n,2.0NRT,299.49,2.95,D
12.08997,76.92316,336.06,0.41,0.37,2026-09-19,816,N21,VIIRS,n,2.0NRT,299.73,4.54,D
12.09817,76.74437,337.49,0.4,0.37,2026-09-19,816,N21,VIIRS,n,2.0NRT,302.48,4.94,D
12.41293,80.09139,330.22,0.39,0.44,2026-09-19,816,N21,VIIRS,n,2.0NRT,296.5,2.55,D
12.56155,76.31815,337.61,0.4,0.37,2026-09-19,816,N21,VIIRS,n,2.0NRT,293.05,4.41,D
12.58635,77.62064,342.69,0.44,0.38,2026-09-19,816,N21,VIIRS,n,2.0NRT,300.18,6.64,D
9.13704,77.80103,332.18,0.45,0.39,2026-09-20,758,N21,VIIRS,l,2.0NRT,297.15,7.18,D
9.32728,77.40293,334.27,0.46,0.39,2026-09-20,758,N21,VIIRS,n,2.0NRT,297.87,9.11,D
13.34372,77.71157,336.99,0.49,0.49,2026-09-21,739,N21,VIIRS,n,2.0NRT,293.54,5.53,D
13.3439,77.7095,336.95,0.49,0.49,2026-09-21,739,N21,VIIRS,n,2.0NRT,294.03,10.02,D
8.66142,78.05058,337.36,0.6,0.7,2026-09-22,720,N21,VIIRS,n,2.0NRT,287.77,3.93,D
8.67295,77.47455,337.27,0.65,0.73,2026-09-22,720,N21,VIIRS,n,2.0NRT,286.31,14.12,D
8.67955,77.47332,355.6,0.65,0.73,2026-09-22,720,N21,VIIRS,l,2.0NRT,288.24,14.12,D
9.08463,80.3308,330.56,0.41,0.61,2026-09-22,720,N21,VIIRS,n,2.0NRT,291.7,4.63,D
9.35563,78.81754,338.63,0.51,0.66,2026-09-18,731,N,VIIRS,n,2.0NRT,290.3,6.4,D
9.58416,78.56781,331.83,0.53,0.67,2026-09-18,731,N,VIIRS,n,2.0NRT,290.8,3.52,D
11.26936,80.0015,330.06,0.4,0.6,2026-09-18,731,N,VIIRS,n,2.0NRT,289.22,2.77,D
12.45774,76.88866,329.6,0.6,0.71,2026-09-18,731,N,VIIRS,n,2.0NRT,287.02,3.87,D
12.76095,76.89168,328.91,0.6,0.7,2026-09-18,731,N,VIIRS,n,2.0NRT,285.42,3.45,D
9.61201,78.40251,331.91,0.73,0.76,2026-09-18,911,N,VIIRS,n,2.0NRT,290.84,7.68,D
11.26616,80.00412,304.52,0.55,0.43,2026-09-18,2006,N,VIIRS,n,2.0NRT,287.38,2.63,N
11.26987,80.00117,307.56,0.55,0.43,2026-09-18,2006,N,VIIRS,n,2.0NRT,288.24,2.52,N
11.80968,77.92376,296.23,0.5,0.49,2026-09-18,2006,N,VIIRS,n,2.0NRT,265.49,0.48,N
12.84287,79.89474,298.56,0.39,0.44,2026-09-18,2006,N,VIIRS,n,2.0NRT,274.13,0.31,N
13.39268,80.10199,309.94,0.38,0.43,2026-09-18,2006,N,VIIRS,n,2.0NRT,286.66,1.34,N
8.5822,78.07184,338.98,0.32,0.55,2026-09-19,852,N,VIIRS,n,2.0NRT,293.08,2.12,D
9.87499,78.16687,335.92,0.34,0.56,2026-09-19,852,N,VIIRS,n,2.0NRT,288.81,2.38,D
12.17125,76.61151,333.49,0.57,0.52,2026-09-19,854,N,VIIRS,n,2.0NRT,294.97,5.45,D
8.81362,78.10622,338.11,0.49,0.4,2026-09-20,835,N,VIIRS,n,2.0NRT,285.24,7.96,D
9.29924,77.76429,331.95,0.47,0.4,2026-09-20,835,N,VIIRS,n,2.0NRT,295.62,3.52,D
9.77945,78.18136,347.16,0.5,0.41,2026-09-20,835,N,VIIRS,n,2.0NRT,292.92,5.18,D
10.82826,79.18586,339.68,0.4,0.44,2026-09-20,835,N,VIIRS,n,2.0NRT,298.65,2.84,D
11.03817,77.20752,337.8,0.46,0.39,2026-09-20,835,N,VIIRS,n,2.0NRT,301.08,8.73,D
13.39286,80.10187,306.63,0.46,0.63,2026-09-20,2108,N,VIIRS,n,2.0NRT,283.27,2.74,N
8.87128,78.08917,341.62,0.39,0.36,2026-09-21,813,N,VIIRS,n,2.0NRT,304.37,4.56,D
9.0166,78.13821,342.87,0.39,0.36,2026-09-21,813,N,VIIRS,n,2.0NRT,299.3,2.61,D
11.23936,77.23362,330.61,0.4,0.37,2026-09-21,816,N,VIIRS,l,2.0NRT,296.96,3.22,D
11.24016,77.23308,332.45,0.4,0.37,2026-09-21,816,N,VIIRS,l,2.0NRT,297.23,3.71,D
12.82642,79.54056,333.16,0.4,0.37,2026-09-21,816,N,VIIRS,n,2.0NRT,296.41,2.42,D
13.27823,80.29333,333.09,0.42,0.37,2026-09-21,816,N,VIIRS,n,2.0NRT,278.2,3.27,D
8.66861,77.99207,305.03,0.39,0.44,2026-09-21,2049,N,VIIRS,n,2.0NRT,289.36,1.05,N
8.49269,80.18095,330.88,0.5,0.41,2026-09-22,756,N,VIIRS,l,2.0NRT,296.05,4.59,D
8.55172,77.81528,350.32,0.47,0.47,2026-09-22,756,N,VIIRS,n,2.0NRT,299.89,10.65,D
8.60402,77.96516,330.04,0.46,0.47,2026-09-22,756,N,VIIRS,n,2.0NRT,297.13,1.5,D
8.67719,77.4745,331.29,0.49,0.48,2026-09-22,756,N,VIIRS,n,2.0NRT,291.27,2.92,D
9.12537,77.64301,335.21,0.47,0.48,2026-09-22,756,N,VIIRS,n,2.0NRT,299.01,3.18,D
9.41835,78.65449,342.61,0.4,0.44,2026-09-22,756,N,VIIRS,n,2.0NRT,293.57,2.66,D
9.57274,78.57926,338.7,0.4,0.44,2026-09-22,756,N,VIIRS,n,2.0NRT,295.12,2.85,D
10.96626,77.76252,333.77,0.43,0.46,2026-09-22,756,N,VIIRS,n,2.0NRT,294.84,2.89,D
